mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_rows_in_full_order
independent,s2,Y,2820,11,10,0.2879134961346538,0.5639380255318273,0.6334803676295642,0.5081538089612573,0.5639380255318273,0.1083085760474205,0.5541542880237103,"2384,2385,2386,2387,2388"
independent,s3,RegionLoupe,2662,9,10,0.3496122685375357,0.5757916334053056,0.6686332015438172,0.5055891785180806,0.5757916334053055,0.1112280115485191,0.5556140057742596,"5204,5205,5206,5207,5208"
independent,s3,annotations,2662,11,10,0.3757002355236433,0.5967642920990447,0.6386232812571276,0.560055106395113,0.5967642920990447,0.1049333736300468,0.5524666868150234,"5204,5205,5206,5207,5208"
independent,s3,celltype,2662,11,10,0.3757002355236433,0.5967642920990447,0.6386232812571276,0.560055106395113,0.5967642920990447,0.1049333736300468,0.5524666868150234,"5204,5205,5206,5207,5208"
independent,s3,Y.l1,2662,9,10,0.3496122685375357,0.5757916334053056,0.6686332015438172,0.5055891785180806,0.5757916334053055,0.1112280115485191,0.5556140057742596,"5204,5205,5206,5207,5208"
independent,s3,Y,2662,11,10,0.3757002355236433,0.5967642920990446,0.6386232812571275,0.560055106395113,0.5967642920990446,0.1049333736300468,0.5524666868150234,"5204,5205,5206,5207,5208"
joint,combined,group,7866,3,2,0.0012277040066101528,0.00090168836154421,0.0007252676320540739,0.0011915260517512045,0.00090168836154421,0.001647479017265141,0.5008237395086326,"0,1,2,3,4"
joint,combined,group,7866,3,3,0.002832054571293264,0.0026304851248476714,0.0026231832958712783,0.00263782771767906,0.002630485124847672,0.001647479017265141,0.5008237395086326,"0,1,2,3,4"
joint,combined,group,7866,3,4,0.003391855682026872,0.0036750481339450736,0.0039702213589701725,0.003420727979394926,0.003675048133945073,0.001647479017265141,0.5008237395086326,"0,1,2,3,4"
joint,combined,group,7866,3,5,0.0035816379010866622,0.0034910777495129825,0.004143280221369381,0.0030162789266767256,0.003491077749512982,0.001647479017265141,0.5008237395086326,"0,1,2,3,4"
joint,combined,group,7866,3,6,0.0025807204663727728,0.00344367302171774,0.00444927308543645,0.002808835562554808,0.0034436730217177395,0.001647479017265141,0.5008237395086326,"0,1,2,3,4"
joint,combined,group,7866,3,7,0.0025500578809784127,0.0036951955222150543,0.004948748582977733,0.0029483560546983245,0.0036951955222150543,0.001647479017265141,0.5008237395086326,"0,1,2,3,4"
joint,combined,group,7866,3,8,0.001961261212119697,0.003739543352799123,0.005276662886227888,0.0028959406693455357,0.003739543352799123,0.001647479017265141,0.5008237395086326,"0,1,2,3,4"
joint,combined,group,7866,3,9,0.0019660071270152725,0.003317457248735807,0.004933372812744189,0.0024989361373135145,0.0033174572487358073,0.001647479017265141,0.5008237395086326,"0,1,2,3,4"
joint,combined,group,7866,3,10,0.0022472074946900105,0.004814552718800216,0.007320324150342601,0.0035867844197959462,0.004814552718800216,0.001647479017265141,0.5008237395086326,"0,1,2,3,4"
joint,combined,group,7866,3,11,0.0025916546711391335,0.007034145333836311,0.010917790670835661,0.005188505106018652,0.007034145333836311,0.001647479017265141,0.5008237395086326,"0,1,2,3,4"
joint,combined,group,7866,3,12,0.0027057097917669065,0.006299258254914322,0.01019782628820082,0.004557104459699409,0.006299258254914321,0.001647479017265141,0.5008237395086326,"0,1,2,3,4"
